Report_ID,Animal_Type,Breed,Age,Gender,Health_Status,Location,Reported_Date,Rescue_Status
1,Dog,Beagle,5,Male,Healthy,Negombo,2026-01-13,Rescued
2,Dog,Labrador,15,Female,Healthy,Galle,2026-01-28,Rescued
3,Cat,Domestic Short Hair,5,Male,Healthy,Colombo,2026-05-22,Rescued
4,Dog,Golden Retriever,1,Male,Critical,Jaffna,2026-04-29,Released
5,Dog,Beagle,5,Male,Sick,Colombo,2026-01-27,Under Treatment
6,Dog,German Shepherd,6,Male,Sick,Batticaloa,2026-04-11,Released
7,Cat,Siamese,9,Female,Sick,Matara,2026-03-22,Under Treatment
8,Cat,Persian,6,Male,Sick,Kurunegala,2026-06-14,Rescued
9,Cat,Siamese,9,Female,Sick,Anuradhapura,2026-06-21,Rescued
10,Cat,British Shorthair,11,Male,Injured,Jaffna,2026-04-30,Pending
11,Dog,Golden Retriever,15,Female,Critical,Kandy,2026-03-26,Released
12,Cat,Mixed Breed,11,Male,Injured,Colombo,2026-04-08,Rescued
13,Cat,Mixed Breed,4,Male,Healthy,Colombo,2026-04-05,Under Treatment
14,Dog,Rottweiler,14,Male,Sick,Kurunegala,2026-01-13,Under Treatment
15,Dog,Beagle,6,Male,Critical,Kurunegala,2026-02-24,Released
16,Dog,Golden Retriever,15,Female,Injured,Colombo,2026-01-19,Released
17,Dog,Mixed Breed,1,Female,Injured,Kurunegala,2026-01-15,Pending
18,Dog,Husky,3,Female,Sick,Colombo,2026-05-11,Under Treatment
19,Cat,Domestic Short Hair,10,Female,Critical,Anuradhapura,2026-06-06,Rescued
20,Dog,German Shepherd,14,Male,Sick,Jaffna,2026-03-11,Under Treatment
21,Dog,Mixed Breed,9,Female,Healthy,Kandy,2026-04-01,Pending
22,Dog,Labrador,10,Male,Sick,Kandy,2026-05-15,Released
23,Cat,British Shorthair,15,Male,Healthy,Negombo,2026-03-04,Released
24,Cat,Siamese,8,Male,Sick,Ratnapura,2026-03-21,Pending
25,Cat,Siamese,2,Male,Sick,Galle,2026-01-10,Rescued
26,Cat,British Shorthair,8,Male,Sick,Kurunegala,2026-05-01,Rescued
27,Cat,Persian,11,Male,Healthy,Anuradhapura,2026-05-26,Pending
28,Cat,Persian,1,Male,Sick,Anuradhapura,2026-03-08,Pending
29,Dog,Golden Retriever,7,Female,Injured,Colombo,2026-05-17,Released
30,Dog,Husky,4,Male,Sick,Matara,2026-01-05,Released
31,Cat,Domestic Short Hair,12,Female,Healthy,Ratnapura,2026-05-17,Released
32,Cat,British Shorthair,8,Female,Sick,Matara,2026-01-06,Released
33,Dog,Labrador,12,Male,Critical,Batticaloa,2026-04-17,Rescued
34,Dog,Beagle,10,Male,Sick,Ratnapura,2026-05-07,Rescued
35,Dog,Mixed Breed,5,Male,Injured,Colombo,2026-04-11,Pending
36,Cat,Mixed Breed,2,Male,Critical,Kandy,2026-01-28,Rescued
37,Cat,Domestic Short Hair,15,Female,Injured,Negombo,2026-03-23,Under Treatment
38,Cat,Siamese,4,Female,Injured,Anuradhapura,2026-02-19,Released
39,Cat,Mixed Breed,6,Male,Sick,Ratnapura,2026-06-18,Released
40,Dog,Rottweiler,2,Female,Injured,Batticaloa,2026-04-08,Released
41,Dog,Husky,13,Male,Injured,Jaffna,2026-03-16,Under Treatment
42,Cat,Persian,11,Male,Healthy,Ratnapura,2026-01-17,Pending
43,Cat,Domestic Short Hair,8,Female,Critical,Kandy,2026-06-27,Released
44,Cat,Domestic Short Hair,6,Male,Injured,Batticaloa,2026-05-15,Released
45,Dog,Labrador,1,Male,Injured,Batticaloa,2026-05-11,Released
46,Dog,German Shepherd,9,Male,Healthy,Batticaloa,2026-02-26,Rescued
47,Dog,Beagle,1,Female,Critical,Colombo,2026-06-01,Under Treatment
48,Dog,Husky,2,Female,Injured,Galle,2026-02-03,Rescued
49,Cat,British Shorthair,9,Female,Healthy,Batticaloa,2026-06-13,Pending
50,Cat,Domestic Short Hair,15,Female,Injured,Anuradhapura,2026-01-05,Under Treatment
51,Dog,Golden Retriever,5,Male,Sick,Jaffna,2026-05-23,Pending
52,Dog,Husky,5,Female,Injured,Galle,2026-01-08,Rescued
